S/N,Compound ID,PubChem CID,Isomeric SMILES,IC50 (µM),pIC50
1,C_001,5437,C1C(=O)NC(=O)S1,0.54,6.27
2,C_002,7757,CC(=O)CC(=O)OC,19,4.72
3,C_003,7761,CCOC(=O)CC(=O)OCC,5,5.3
4,C_004,41774,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,2,5.7
5,C_005,51634,CCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,2.1,5.68
6,C_006,73160,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,53.8,4.27
7,C_007,92381,CN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,0.12,6.92
8,C_008,96637,C1=CC(=CC=C1C2=NN=C(S2)N)[N+](=O)[O-],2.3,5.64
9,C_009,100437,COC1=C(C(=C(C(=C1)C2=CC=C(C=C2)O)OC)O)C3=CC=C(C=C3)O,4.79,5.32
10,C_010,123740,CC(=CCC1=C(C=CC(=C1)C[C@@]2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)C,14.18,4.85
11,C_011,155893,C1=CC=C(C=C1)C(=O)N2C3=CC(=C(C=C3N=N2)Cl)Cl,3.7,5.43
12,C_012,159496,C([C@@H]1[C@H](C([C@H]([C@H](N1)CO)O)O)O)O,0.04,7.4
13,C_013,174312,C1[C@@H]([C@@H]([C@H]([C@@H]([C@]1(CO)O)O)O)O)N,2.2,5.66
14,C_014,176077,C1[C@@H]([C@H]([C@H]([C@H](N1)CO)O)O)O,1.5,5.82
15,C_015,182638,C1=CC(=C(C=C1Cl)Cl)C2=NN=C(S2)N,2.3,5.64
16,C_016,191796,COC1=C(C(=C(C(=C1)C2=CC=C(C=C2)O)OC)O)C3=CC(=C(C=C3)O)O,11.3,4.95
17,C_017,193758,C1=C([C@H]([C@@H]([C@H]([C@H]1N)O)O)O)CO,100,4
18,C_018,256338,CC1=CC2=C(C=C1C)N(N=N2)C(=O)C3=CC=CC=C3,3.4,5.47
19,C_019,256343,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NN=C(S2)N,2.3,5.64
20,C_020,441314,C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O,3.7,5.43
21,C_021,444020,C1[C@@H]([C@@H]([C@H]([C@@H]([C@]1(CO)O)O)O)O)NC(CO)CO,1.3,5.89
