Compound ID 1,Compound ID 2,Similarity,Activity 1,Activity 2,Delta Activity,SALI
C_334,C_344,0.9999,5.146,4.504,0.642,4516.9
C_343,C_372,0.9999,4.91,4.492,0.418,4463.4
C_340,C_351,0.9998,4.077,4.714,0.638,3566.2
C_358,C_361,0.9998,4.577,5,0.423,2547.9
C_339,C_370,0.9997,5.067,4.631,0.436,1666.4
C_565,C_594,0.9998,6.398,6.155,0.243,1217.5
C_339,C_340,0.999,5.067,4.077,0.99,1008.2
C_085,C_127,0.9992,5.046,5.699,0.653,829.67
C_418,C_541,0.9988,4.799,5.686,0.888,739.96
C_060,C_162,0.9979,5.77,4.513,1.257,598.44
C_442,C_481,0.9983,4.525,5.513,0.988,582.96
C_339,C_352,0.9994,5.067,4.726,0.341,576.28
C_340,C_352,0.9989,4.077,4.726,0.649,573.45
C_009,C_375,0.9988,5.32,4.644,0.676,541.13
C_035,C_036,0.9995,5.55,5.319,0.231,490.74
C_339,C_351,0.9993,5.067,4.714,0.352,480.89
C_405,C_515,0.9996,6.824,7,0.176,476.89
C_340,C_370,0.9988,4.077,4.631,0.554,442.41
C_340,C_369,0.9985,4.077,4.719,0.642,429.98
C_057,C_060,0.9988,5.244,5.77,0.525,418.99
C_339,C_369,0.9992,5.067,4.719,0.348,411.75
C_368,C_372,0.999,4.903,4.492,0.411,407.94
C_007,C_014,0.9971,6.921,5.824,1.097,375.21
C_405,C_410,0.9995,6.824,7,0.176,372.78
C_009,C_366,0.9987,5.32,4.879,0.44,344.64
C_528,C_541,0.9982,5.08,5.686,0.606,340.51
C_279,C_282,0.9983,4.821,4.273,0.548,323.22
C_348,C_358,0.9989,4.903,4.577,0.326,300.31
C_029,C_033,0.9995,5.527,5.387,0.14,299.16
C_035,C_618,0.9994,5.55,5.374,0.176,283.8
C_085,C_124,0.9964,5.046,6.018,0.972,270.83
C_150,C_151,0.9858,4.469,8.237,3.768,265.74
C_394,C_612,0.9976,5.556,4.927,0.629,263.02
C_372,C_374,0.9988,4.492,4.745,0.253,212.93
C_116,C_117,0.9982,5.222,4.854,0.368,206.32
C_036,C_618,0.9997,5.319,5.374,0.055,199.8
C_368,C_374,0.9992,4.903,4.745,0.158,198.76
C_060,C_061,0.9941,5.77,4.646,1.124,190.77
C_603,C_629,0.9975,4.118,4.595,0.477,187.72
C_402,C_601,0.9975,5.213,4.754,0.458,184.06
C_495,C_604,0.9976,4.916,4.49,0.426,179.44
C_101,C_368,0.9992,4.757,4.903,0.146,177.19
C_035,C_038,0.9989,5.55,5.355,0.195,174.49
C_437,C_438,0.9972,4.479,4.006,0.473,170.95
C_342,C_361,0.9987,4.793,5,0.207,164.54
C_516,C_522,0.9981,4.583,4.893,0.31,163.53
